Unnamed: 0,bike_name,price,kms_driven,owner,brand
28994,Hero CD Deluxe,18000.0,22824.0,First Owner,Hero
31433,Honda CB Trigger,43000.0,42837.0,First Owner,Honda
17250,Bajaj Pulsar 150cc,10000.0,64955.0,First Owner,Bajaj
13738,Bajaj Pulsar 150cc,14227.0,36000.0,First Owner,Bajaj
24577,Royal Enfield Classic,87000.0,16336.0,First Owner,Royal Enfield
25494,Bajaj Avenger Street,70000.0,8000.0,First Owner,Bajaj
11014,KTM RC 390cc,196700.0,13216.0,First Owner,KTM
3000,Hero Super Splendor,35000.0,12669.0,First Owner,Hero
10504,Royal Enfield Classic,95500.0,18000.0,First Owner,Royal Enfield
11096,Hero CD Deluxe,18000.0,22824.0,First Owner,Hero
11129,Bajaj Pulsar 150cc,25000.0,32588.0,First Owner,Bajaj
27474,Hero Passion 100cc,15000.0,35000.0,Second Owner,Hero
9539,Bajaj Pulsar 150cc,14227.0,36000.0,First Owner,Bajaj
15104,Bajaj Avenger 220cc,41000.0,20245.0,Second Owner,Bajaj
27872,Bajaj Avenger 220cc,41000.0,20245.0,Second Owner,Bajaj
18671,Bajaj Avenger 220cc,50000.0,29134.0,First Owner,Bajaj
23405,Royal Enfield Classic,95500.0,18000.0,First Owner,Royal Enfield
19221,Bajaj Pulsar NS200,48000.0,41939.0,First Owner,Bajaj
28799,Hero Hunk Rear,25000.0,48587.0,First Owner,Hero
20415,Hero CBZ Xtreme,11900.0,34968.0,First Owner,Hero
22685,Yamaha Fazer 150cc,25000.0,65000.0,First Owner,Yamaha
30214,Hero Super Splendor,15600.0,84186.0,First Owner,Hero
21523,Yamaha Fazer 25,123000.0,14500.0,First Owner,Yamaha
20203,Bajaj Platina 100cc,23000.0,20000.0,First Owner,Bajaj
30226,Royal Enfield Classic,95500.0,18000.0,First Owner,Royal Enfield
7449,Royal Enfield Himalayan,150000.0,19600.0,Second Owner,Royal Enfield
29534,Yamaha YZF-R15 2.0,55000.0,27000.0,First Owner,Yamaha
24824,Royal Enfield Classic,87000.0,16336.0,First Owner,Royal Enfield
20790,Bajaj Dominar 400,139000.0,21300.0,First Owner,Bajaj
11448,Royal Enfield Bullet,105000.0,20000.0,First Owner,Royal Enfield
31206,Yamaha YZF-R15 2.0,55000.0,27000.0,First Owner,Yamaha
20605,Hero CBZ Xtreme,11900.0,34968.0,First Owner,Hero
29335,Bajaj Avenger 220cc,41000.0,20245.0,Second Owner,Bajaj
17980,Yamaha FZ 150cc,45000.0,18742.0,First Owner,Yamaha
23228,Royal Enfield Bullet,105000.0,20000.0,First Owner,Royal Enfield
20887,Yamaha FZ 150cc,45000.0,18742.0,First Owner,Yamaha
216,Royal Enfield Classic,130000.0,10149.0,First Owner,Royal Enfield
26570,Yamaha SZ-RR 150cc,20000.0,52000.0,First Owner,Yamaha
19682,Bajaj Pulsar 150cc,10000.0,64955.0,First Owner,Bajaj
27013,Hero Hunk Rear,25000.0,48587.0,First Owner,Hero
18137,Hero Passion 100cc,18000.0,3869.0,First Owner,Hero
32005,Hero CBZ Xtreme,11900.0,34968.0,First Owner,Hero
21018,Bajaj Dominar 400,139000.0,21300.0,First Owner,Bajaj
19827,Royal Enfield Classic,87000.0,16336.0,First Owner,Royal Enfield
2095,Royal Enfield Classic,102850.0,3198.0,First Owner,Royal Enfield
14962,Hero CBZ Xtreme,11900.0,34968.0,First Owner,Hero
23022,Bajaj Avenger 220cc,50000.0,29134.0,First Owner,Bajaj
31683,Royal Enfield Classic,87000.0,16336.0,First Owner,Royal Enfield
3398,Bajaj Discover 125cc,18000.0,403833.0,First Owner,Bajaj
12094,Royal Enfield Classic,87000.0,16336.0,First Owner,Royal Enfield
28235,Hero Passion Pro,39000.0,22000.0,First Owner,Hero
23251,Bajaj Pulsar 150cc,25000.0,32588.0,First Owner,Bajaj
3776,Royal Enfield Bullet,97500.0,25000.0,First Owner,Royal Enfield
26763,Hero Passion 100cc,18000.0,3869.0,First Owner,Hero
14509,Bajaj Pulsar NS200,48000.0,41939.0,First Owner,Bajaj
3517,Hero Passion Xpro,49500.0,5000.0,First Owner,Hero
28924,Yamaha FZ 150cc,45000.0,18742.0,First Owner,Yamaha
22205,KTM RC 390cc,196700.0,13216.0,First Owner,KTM
27241,Bajaj Pulsar 150cc,25000.0,32588.0,First Owner,Bajaj
13370,Bajaj Avenger 220cc,50000.0,29134.0,First Owner,Bajaj
23924,Bajaj Avenger Street,60000.0,20373.0,First Owner,Bajaj
20600,Hero Super Splendor,15600.0,84186.0,First Owner,Hero
1555,Royal Enfield Classic,105000.0,2109.0,First Owner,Royal Enfield
15461,Hero Hunk Rear,25000.0,48587.0,First Owner,Hero
16253,Yamaha YZF-R15 2.0,55000.0,27000.0,First Owner,Yamaha
14446,Yamaha FZ 150cc,45000.0,18742.0,First Owner,Yamaha
9598,Bajaj Avenger Street,60000.0,20373.0,First Owner,Bajaj
31152,Royal Enfield Thunderbird,70000.0,13858.0,Second Owner,Royal Enfield
1109,Bajaj Pulsar 180cc,52000.0,30000.0,First Owner,Bajaj
29285,Yamaha FZ 150cc,45000.0,18742.0,First Owner,Yamaha
13581,Yamaha Fazer 25,123000.0,14500.0,First Owner,Yamaha
29987,Bajaj Pulsar 150cc,22000.0,60857.0,First Owner,Bajaj
32451,Yamaha Fazer 150cc,25000.0,65000.0,First Owner,Yamaha
16680,Hero Passion Pro,32000.0,12000.0,First Owner,Hero
10241,Hero CD Deluxe,18000.0,22824.0,First Owner,Hero
10883,Bajaj Avenger Street,70000.0,8000.0,First Owner,Bajaj
5199,Bajaj Pulsar 150cc,32000.0,21000.0,First Owner,Bajaj
9779,KTM RC 390cc,196700.0,13216.0,First Owner,KTM
5138,Bajaj Avenger 220cc,50000.0,1234.0,Second Owner,Bajaj
19409,Royal Enfield Bullet,105000.0,20000.0,First Owner,Royal Enfield
32002,Yamaha FZ 150cc,45000.0,18742.0,First Owner,Yamaha
11809,Royal Enfield Bullet,105000.0,20000.0,First Owner,Royal Enfield
10296,Bajaj Pulsar 150cc,10000.0,64955.0,First Owner,Bajaj
4273,Bajaj Pulsar 150cc,50000.0,27342.0,First Owner,Bajaj
15838,Royal Enfield Thunderbird,70000.0,13858.0,Second Owner,Royal Enfield
18277,Bajaj Avenger 220cc,41000.0,20245.0,Second Owner,Bajaj
21465,Bajaj Pulsar 150cc,25000.0,32588.0,First Owner,Bajaj
16227,Bajaj Pulsar 150cc,14227.0,36000.0,First Owner,Bajaj
19133,Hero CD Deluxe,18000.0,22824.0,First Owner,Hero
28928,Royal Enfield Bullet,105000.0,20000.0,First Owner,Royal Enfield
369,KTM RC 200cc,185000.0,3000.0,First Owner,KTM
10812,Hero Passion Pro,39000.0,22000.0,First Owner,Hero
18327,Royal Enfield Thunderbird,70000.0,13858.0,Second Owner,Royal Enfield
29197,Bajaj Avenger 220cc,50000.0,29134.0,First Owner,Bajaj
12609,Bajaj Pulsar NS200,48000.0,41939.0,First Owner,Bajaj
14918,Harley-Davidson Street 750,450000.0,3430.0,First Owner,Harley-Davidson
22565,Bajaj Pulsar NS200,48000.0,41939.0,First Owner,Bajaj
12163,Harley-Davidson Street 750,450000.0,3430.0,First Owner,Harley-Davidson
15967,Suzuki Slingshot Plus,32000.0,22697.0,First Owner,Suzuki
